_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Washington,District of Columbia,38.936097,-76.9989966,"Columbus School of Law, The Catholic University of America",Private,Full ABA,District of Columbia,"3600 John McCormack Dr NE, Washington, DC 20064"
Chicago,Illinois,41.878985,-87.6442927,"Chicago-Kent College of Law, Illinois Institute of Technology",Private,Full ABA,Cook County,"565 W Adams St #623, Chicago, IL 60661"
San Diego,California,32.7716655,-117.1910477,University of San Diego School of Law,Private,Full ABA,San Diego County,"5998 Alcala Park, Warren Hall, San Diego, CA 92110"
Birmingham,Alabama,33.4629377,-86.7928276,"Cumberland School of Law, Samford University",Private,Full ABA,Jefferson County,"800 Lakeshore Dr, Birmingham, AL 35229"
New York City,New York,40.7239575,-73.7947677,St. John's University School of Law,Private,Full ABA,Queens County,"8000 Utopia Pkwy, Jamaica, NY 11439"
Chicago,Illinois,41.8963359,-87.619839,Northwestern University School of Law,Private,Full ABA,Cook County,"Northwestern University, 375 E Chicago Ave, Chicago, IL 60611"
Baton Rouge,Louisiana,30.4142766,-91.1771987,"Paul M. Hebert Law Center, Louisiana State University",Public,Full ABA,East Baton Rouge Parish,"1 EAST CAMPUS DR., LOUISIANA STATE UNIVERSITY, BATON ROUGE, LA 70803-1000"
Camden,New Jersey,39.944844,-75.119869,"Rutgers School of Law–Camden, Rutgers University",Public,Full ABA,Camden County,
Philadelphia,Pennsylvania,39.953908,-75.193999,University of Pennsylvania Law School,Private,Full ABA,Philadelphia County,"3501 Sansom St, Philadelphia, PA 19104"
Philadelphia,Pennsylvania,39.962801,-75.247146,Drexel University School of Law,Private,Full ABA,Philadelphia County,"3320 Market St, Philadelphia, PA 19104"
Columbus,Ohio,39.963774,-82.987073,Capital University Law School,Private,Full ABA,Franklin County,"303 E Broad St, Columbus, OH 43215"
Philadelphia,Pennsylvania,39.979049,-75.157731,"Beasley School of Law, Temple University",Public,Full ABA,Philadelphia County,"1719 N Broad St, Philadelphia, PA 19122"
Columbus,Ohio,39.996877,-83.00835,"Michael E. Moritz College of Law, Ohio State University",Public,Full ABA,Franklin County,"55 W 12th Ave, Columbus, OH 43210"
Boulder,Colorado,40.014986,-105.270546,University of Colorado School of Law,Public,Full ABA,Boulder County,
Radnor,Pennsylvania,40.0463,-75.359549,Villanova University School of Law,Private,Full ABA,Delaware County,
Urbana,Illinois,40.111717,-88.207301,University of Illinois College of Law,Public,Full ABA,Champaign County,
Carlisle,Pennsylvania,40.201824,-77.189389,"Dickinson School of Law, Penn State University",Public,Full ABA,Cumberland County,
Provo,Utah,40.233844,-111.658534,"J. Reuben Clark Law School, Brigham Young University",Private,Full ABA,Utah County,
Harrisburg,Pennsylvania,40.266311,-76.886112,Widener University School of Law,Private,Full ABA,Dauphin County,
Pittsburgh,Pennsylvania,40.43699,-79.993022,Duquesne University School of Law,Private,Full ABA,Allegheny County,"900 Locust St, Pittsburgh, PA 15282"
Pittsburgh,Pennsylvania,40.44429,-79.949289,University of Pittsburgh School of Law,Public,Full ABA,Allegheny County,"3900 Forbes Ave, Pittsburgh, PA 15260"
New York City,New York,40.691944,-73.989722,Brooklyn Law School,Private,Full ABA,Kings County,"250 Joralemon St, Brooklyn, NY 11201"
