geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est,land_area_sqmile,pop_density
0500000US55011,55,11,Buffalo County,315,0,WI,13357,671.635,19.88728997
0500000US46017,46,17,Buffalo County,11,0,SD,2024,471.384,4.293739287
0500000US21029,21,29,Bullitt County,1040,0,KY,76854,297.024,258.7467679
0500000US13031,13,31,Bulloch County,1370,0,GA,71214,672.809,105.8457898
0500000US01011,1,11,Bullock County,111,0,AL,10639,622.805,17.08239337
0500000US37021,37,21,Buncombe County,7387,26,NC,247912,656.672,377.5278983
0500000US17011,17,11,Bureau County,766,8,IL,34056,869.031,39.18847544
0500000US38013,38,13,Burke County,97,0,ND,2306,1103.568,2.08958578
0500000US13033,13,33,Burke County,299,0,GA,22923,826.968,27.71933134
0500000US37023,37,23,Burke County,1443,4,NC,89842,507.099,177.1685608
0500000US38015,38,15,Burleigh County,2946,2,ND,88457,1632.653,54.17991453
0500000US48051,48,51,Burleson County,328,0,TX,17169,659.026,26.05208292
0500000US34005,34,5,Burlington County,10527,39,NJ,450838,798.576,564.5524033
0500000US48053,48,53,Burnet County,1107,1,TX,43823,994.258,44.07608488
0500000US55013,55,13,Burnett County,403,0,WI,15333,821.848,18.65673458
0500000US31021,31,21,Burt County,195,0,NE,6574,491.581,13.37317756
0500000US20015,20,15,Butler County,1303,0,KS,65803,1429.863,46.02049287
0500000US42019,42,19,Butler County,4754,6,PA,185476,788.604,235.1953579
0500000US01013,1,13,Butler County,392,0,AL,20265,776.829,26.0868222
0500000US29023,29,23,Butler County,1241,0,MO,43083,694.669,62.01946539
0500000US31023,31,23,Butler County,208,0,NE,8312,584.907,14.21080616
0500000US19023,19,23,Butler County,333,0,IA,15021,580.131,25.89242774
0500000US39017,39,17,Butler County,6967,6,OH,371272,467.056,794.919667
0500000US21031,21,31,Butler County,189,0,KY,12793,426.088,30.02431423
0500000US46019,46,19,Butte County,312,0,SD,10330,2249.899,4.59131721
0500000US16023,16,23,Butte County,58,0,ID,2642,2231.667,1.183868382
0500000US06007,6,7,Butte County,4630,19,CA,222090,1636.464,135.7133429
0500000US13035,13,35,Butts County,347,0,GA,23361,184.393,126.6913603
0500000US37025,37,25,Cabarrus County,4016,0,NC,187226,361.749,517.5577541
0500000US54011,54,11,Cabell County,2473,0,WV,97133,281.018,345.6468981
0500000US49005,49,5,Cache County,3034,8,UT,116909,1164.813,100.3671834
0500000US40015,40,15,Caddo County,458,0,OK,29594,1278.289,23.15125922
0500000US22017,22,17,Caddo Parish,6297,6,LA,254887,878.539,290.1259933
0500000US06009,6,9,Calaveras County,881,1,CA,44515,1020.012,43.64164343
0500000US22019,22,19,Calcasieu Parish,4331,1,LA,195296,1063.659,183.6077164
0500000US48055,48,55,Caldwell County,549,1,TX,39232,545.257,71.95139173
0500000US37027,37,27,Caldwell County,1335,0,NC,81990,471.566,173.8674968
0500000US29025,29,25,Caldwell County,150,0,MO,9097,426.393,21.33477801
0500000US21033,21,33,Caldwell County,285,0,KY,12823,344.791,37.19064593
0500000US22021,22,21,Caldwell Parish,180,0,LA,9989,529.425,18.86763942
